SQL> /

TABLESPACE_NAME TABLE_NAME                            NUM_ROWS AVG_ROW_LEN                          
--------------- ----------------------------------- ---------- -----------     
PSDEFAULT       VDK_TMP_SQLCOLUMNREF_5222                    0           0                          
FIAPP           PS_FI_RECON_AET                              0           0                          
PSDEFAULT       VDK_TMP_SQLTABLE_10900                       0           0                          
FNLARGE         PS_E_DIM1_D00                                0           0                          
FNLARGE         PS_NI_E_CR_PWRPLNT                     1116815          96                          
PSDEFAULT       VDK_TMP_SQLTABLE_466                         0           0                          
CRLARGE         PS_CR_SA_FCST_F00                            0           0                          
HRLARGE         PS_E_TRN_EXPNTP_LN                           0           0                          
PSDEFAULT       BKUP_NI_VW5                            4349845         710                          
PSDEFAULT       VDK_TMP_SQLTABLE_506                         0           0                          
FILARGE         PS_FW_SETTLE_R00                             0           0                          
PSDEFAULT       VDK_TMP_SQLINDEX_5148                        0           0                          
PFAPP           PS_PF_FN_ENG_SEQ                            12          25                          
FIWORK          PS_FI_POOLHDR_C2                             0           0                          
PSIMAGE         PSMSGCATLANG                                 0           0                          
PSDEFAULT       VDK_TMP_RECOMMENDATION_5256                  0           0                          
FIWORK          PS_FI_IINC_T1                                0           0                          
PSDEFAULT       VDK_TMP_SQLHINTREF_5237                      0           0                          
EOPPAPP         PS_EOPP_CPPROJ_RUN                           0           0                          
FPWORK          PS_FTP_PRICE0_T1                             0           0                          
FIWORK          PS_SE_DISTINCT_T2                            0           0                          
SCWORK          PS_E_SPB_EMAIL_PAR                           0           0                          
PSDEFAULT       VDK_TMP_SQLINDEX_559                         0           0                          
PSDEFAULT       VDK_TMP_JOURNAL_5098                         0           0                          
EWLARGE         PS_BUS_UNIT_TBL_RC                           0           0                          
FILARGE         PS_FI_BSRACCT_AET                            0           0                          
GCWORK          PS_GC_BKCD_LS_T                              0           0                          
HRLARGE         PS_L_ENRLMT_STAT                             0           0                          
PSDEFAULT       VDK_TMP_SQLXREF_5296                         0           0                          
PSDEFAULT       VDK_TMP_SQLXREF_5061                         0           0                          
PTTBL           PSUSERPRSNLOPTN                            257          26                          
FNWORK          PS_CUST_HIST_T1                              0           0                          
HRLARGE         PS_SAVINGS_PLAN                              0           0                          
SCWORK          PS_E_ITM_VENDOR_LA                           0           0                          
PSDEFAULT       VDK_TMP_SQLCOLUMNREF_5157                    0           0                          
ABWORK          PS_LEDMAP_ABMT_T1                            0           0                          
PSDEFAULT       VDK_TMP_SQLINDEX_447                         0           0                          
HRLARGE         PS_PERS_DETAIL_D00                           0           0                          
PSDEFAULT       VDK_TMP_SQLTABLE_687                         0           0                          
CRWORK          PS_CR_CUST_ACQ_V1                            0           0                          
BPWORK          PS_BP_VLD_SCN_T5                             0           0                          
FNLARGE         PS_EX_TIME_P_T03                             0           0                          
BCWORK          PS_KP_KPI_ND_S_T3                            0           0                          
FNLARGE         PS_AGING_TBL_LG                              0           0                          
PTAPP           PS_PTPPB_DS_SETTGS                           5          37                          
FNLARGE         PS_LEDG_F00V2_T1                             0           0                          
CRAPP           PS_CR_DMI_MAGENT_L                           0           0                          
PTTBL           PS_DIRDNMAP                                  0           0                          
BPAPP           PS_BP_XRATED_T2                              0           0                          
HRLARGE         PS_L_POS                                     0           0                          
HRLARGE         PS_L_CMPLTN_STAT                             0           0                          
ABWORK          PS_AB_RJBCDMIN_T2                            0           0                          
PSDEFAULT       SMP_VDM_NOTIFICATION_SERVICES                0           0                          
PSDEFAULT       VDK_TMP_ANALYSIS_5154                        0           0                          
PSDEFAULT       VDK_TMP_RULE_JOURNAL_5209                    0           0                          
PSDEFAULT       VDK_TMP_SQLDEPEND_10860                      0           0                          
CRAPP           PS_CR_COMP2_AET                              0           0                          
PSDEFAULT       VDK_TMP_SQLTABLE_6842                        5          40                          
FNLARGE         PS_PROJ_ACTVT_T0                             0           0                          
EODSAPP         PS_EO_DSSECRULES                             0           0                          
PSDEFAULT       VDK_TMP_SQLCOLUMNREF_5255                    0           0                          
SCLARGE         PS_D_SHIFT_CD                                1          73                          
EWAPP           PS_L_LANGUAGE                                0           0                          
FIWORK          PS_FI_POOLHIST_T1                            0           0                          
PSDEFAULT       VDK_TMP_SQLXREF_5185                         0           0                          
PSDEFAULT       VDK_TMP_JOURNAL_10841                        0           0                          
PSDEFAULT       VDK_TMP_SQLCOLUMNREF_10921                   0           0                          
PSDEFAULT       VDK_TMP_JOURNAL_5019                         0           0                          
PSDEFAULT       VDK_TMP_RULE_JOURNAL_5161                    0           0                          
PSDEFAULT       VDK_TMP_RULE_JOURNAL_673                     0           0                          
FIWORK          PS_FI_ICOVER_T1                              0           0                          
FNLARGE         PS_PC_INTMPGL_T02                            0           0                          
BCAPP           PS_KP_CALC_FLDS                              0           0                          
FILARGE         PS_FW_PRT_POS_SEQ                            0           0                          
CRWORK          PS_CR_SMPLFREQ_T3                            0           0                          
PTTBL           PS_ECTPALIAS                                 1          30                          
